★ Talon Knife | Case Hardened (Minimal Wear)
Souvenir SG 553 | Fallout Warning (Field-Tested)
Souvenir PP-Bizon | Urban Dashed (Field-Tested)
Souvenir Dual Berettas | Colony (Battle-Scarred)
P250 | Supernova (Minimal Wear)
M249 | Spectre (Factory New)
Glock-18 | Catacombs (Minimal Wear)
R8 Revolver | Reboot (Minimal Wear)
P90 | Grim (Minimal Wear)
MP7 | Armor Core (Factory New)
M4A1-S | Flashback (Minimal Wear)
Glock-18 | Off World (Factory New)
M4A4 | Radiation Hazard (Field-Tested)
UMP-45 | Arctic Wolf (Minimal Wear)
Galil AR | Dusk Ruins (Factory New)
P250 | Mint Kimono (Minimal Wear)
Glock-18 | Clear Polymer (Field-Tested)
SCAR-20 | Enforcer (Factory New)
USP-S | Neo-Noir (Factory New)
P90 | Asiimov (Well-Worn)
M4A4 | Buzz Kill (Field-Tested)
M4A4 | Buzz Kill (Factory New)
M4A1-S | Master Piece (Field-Tested)
M4A1-S | Hyper Beast (Battle-Scarred)
AWP | Containment Breach (Field-Tested)
AK-47 | Rat Rod (Battle-Scarred)
AK-47 | Safety Net (Minimal Wear)
★ Navaja Knife | Stained (Minimal Wear)
★ StatTrak™ Shadow Daggers | Safari Mesh (Battle-Scarred)
★ StatTrak™ Shadow Daggers | Fade (Factory New)
★ StatTrak™ M9 Bayonet | Slaughter (Factory New)
★ StatTrak™ Bowie Knife | Crimson Web (Field-Tested)
★ Gut Knife | Lore (Battle-Scarred)
StatTrak™ USP-S | Neo-Noir (Field-Tested)
StatTrak™ Glock-18 | Water Elemental (Minimal Wear)
StatTrak™ Glock-18 | Wasteland Rebel (Minimal Wear)
StatTrak™ AK-47 | Neon Revolution (Minimal Wear)
StatTrak™ AK-47 | Neon Revolution (Battle-Scarred)
StatTrak™ AK-47 | Frontside Misty (Battle-Scarred)
ESL One Cologne 2014 Legends
AWP | Hyper Beast (Well-Worn)
AWP | Hyper Beast (Field-Tested)
AWP | Hyper Beast (Battle-Scarred)
AWP | Corticera (Minimal Wear)
AWP | Corticera (Field-Tested)
M4A4 | Tooth Fairy (Battle-Scarred)
★ StatTrak™ Survival Knife | Slaughter (Minimal Wear)
★ StatTrak™ Classic Knife | Blue Steel (Battle-Scarred)
★ StatTrak™ Classic Knife | Forest DDPAT (Minimal Wear)
AWP | Atheris (Factory New)
AK-47 | Uncharted (Factory New)
MP7 | Fade (Factory New)
★ Navaja Knife | Safari Mesh (Battle-Scarred)
★ Navaja Knife | Night Stripe (Field-Tested)
★ StatTrak™ Huntsman Knife | Stained (Field-Tested)
★ Shadow Daggers | Safari Mesh (Battle-Scarred)
★ Shadow Daggers | Boreal Forest (Battle-Scarred)
★ Gut Knife | Ultraviolet (Well-Worn)
USP-S | Torque (Minimal Wear)
USP-S | Neo-Noir (Factory New)
★ Shadow Daggers | Boreal Forest (Battle-Scarred)
★ Gut Knife | Ultraviolet (Well-Worn)
USP-S | Torque (Minimal Wear)
USP-S | Neo-Noir (Factory New)
USP-S | Cyrex (Factory New)
StatTrak™ AK-47 | Blue Laminate (Factory New)
Glock-18 | Wasteland Rebel (Field-Tested)
Glock-18 | Night (Factory New)
AWP | Asiimov (Well-Worn)
AK-47 | Redline (Field-Tested)
AK-47 | Point Disarray (Battle-Scarred)
AK-47 | Orbit Mk01 (Field-Tested)
AK-47 | Neon Revolution (Minimal Wear)
AK-47 | Blue Laminate (Minimal Wear)
M4A1-S | Player Two (Battle-Scarred)
AK-47 | Phantom Disruptor (Well-Worn)
★ Navaja Knife | Damascus Steel (Well-Worn)
M4A4 | The Emperor (Well-Worn)
AK-47 | Asiimov (Well-Worn)
StatTrak™ M4A4 | Magnesium (Minimal Wear)
★ Navaja Knife | Boreal Forest (Well-Worn)
★ Navaja Knife | Blue Steel (Field-Tested)
★ StatTrak™ Gut Knife | Marble Fade (Factory New)
★ M9 Bayonet | Damascus Steel (Well-Worn)
★ Flip Knife | Ultraviolet (Minimal Wear)
Souvenir SG 553 | Damascus Steel (Minimal Wear)
P250 | Asiimov (Battle-Scarred)
Operation Breakout Weapon Case
MAC-10 | Neon Rider (Minimal Wear)
AK-47 | Jaguar (Field-Tested)
AK-47 | Fuel Injector (Field-Tested)
AK-47 | Frontside Misty (Well-Worn)
AK-47 | Frontside Misty (Minimal Wear)
AK-47 | Emerald Pinstripe (Well-Worn)
AK-47 | Aquamarine Revenge (Well-Worn)
AK-47 | Aquamarine Revenge (Minimal Wear)
AK-47 | Aquamarine Revenge (Field-Tested)
AK-47 | Emerald Pinstripe (Well-Worn)
